PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
14593,20180329,3571,AAPL,APPLE INC,334220,167.78000,7156363,-0.058051,4943282,-0.018445,0.001242,-0.026885
14593,20180430,3571,AAPL,APPLE INC,334220,165.25999,6662564,-0.015020,4915138,0.004692,0.008169,0.002719
14593,20180531,3571,AAPL,APPLE INC,334220,186.87000,6211796,0.135181,4915138,0.026164,0.034593,0.021608
14593,20180629,3571,AAPL,APPLE INC,334220,185.11000,5276132,-0.009418,4842917,0.005365,0.002790,0.004842
14593,20180731,3571,AAPL,APPLE INC,334220,190.28999,3925671,0.027983,4829926,0.031604,0.006837,0.036022
14593,20180831,3571,AAPL,APPLE INC,334220,227.63000,7006518,0.200063,4829926,0.030233,0.019201,0.030263
14593,20180928,3571,AAPL,APPLE INC,334220,225.74001,6790750,-0.008303,4754986,0.000425,-0.010332,0.004294
14593,20181031,3571,AAPL,APPLE INC,334220,218.86000,7901731,-0.030478,4745398,-0.074045,-0.082375,-0.069403
14593,20181130,3571,AAPL,APPLE INC,334220,178.58000,9614243,-0.180709,4745398,0.018512,0.000656,0.017859
14593,20181231,3571,AAPL,APPLE INC,334220,157.74001,8989251,-0.116698,4729803,-0.089890,-0.099321,-0.091777
14593,20190131,3571,AAPL,APPLE INC,334220,166.44000,8286384,0.055154,4715280,0.088294,0.120260,0.078684
14593,20190228,3571,AAPL,APPLE INC,334220,173.14999,4728399,0.044701,4715280,0.032724,0.038572,0.029729
14593,20190329,3571,AAPL,APPLE INC,334220,189.95000,6509946,0.097026,4715280,0.012962,-0.003908,0.017924
14593,20190430,3571,AAPL,APPLE INC,334220,200.67000,5069258,0.056436,4601075,0.037893,0.020355,0.039313
14593,20190531,3571,AAPL,APPLE INC,334220,175.07001,7394492,-0.123735,4601075,-0.061679,-0.064571,-0.065778
14593,20190628,3571,AAPL,APPLE INC,334220,197.92000,5161482,0.130519,4531395,0.067279,0.049002,0.068930
14593,20190731,3571,AAPL,APPLE INC,334220,213.03999,4736504,0.076394,4519180,0.011854,-0.005245,0.013128
14593,20190830,3571,AAPL,APPLE INC,334220,208.74001,6836722,-0.016570,4519180,-0.020339,-0.040001,-0.018092
14593,20190930,3571,AAPL,APPLE INC,334220,223.97000,5472803,0.072962,4443236,0.016033,0.017681,0.017181
14593,20191031,3571,AAPL,APPLE INC,334220,248.75999,6227831,0.110684,4443265,0.019256,0.006291,0.020432
14593,20191129,3571,AAPL,APPLE INC,334220,267.25000,4495545,0.077424,4443265,0.034997,0.026601,0.034047
14593,20191231,3571,AAPL,APPLE INC,334220,293.64999,5984993,0.098784,4384959,0.028491,0.044379,0.028590
14593,20200131,3571,AAPL,APPLE INC,334220,309.51001,7346625,0.054010,4375480,-0.001728,-0.013334,-0.001628
14593,20200228,3571,AAPL,APPLE INC,334220,273.35999,7538341,-0.114310,4375480,-0.077918,-0.069814,-0.084110
14593,20200331,3571,AAPL,APPLE INC,334220,254.28999,15678412,-0.069761,4323987,-0.141733,-0.207501,-0.125119
14593,20200430,3571,AAPL,APPLE INC,334220,293.79999,8151167,0.155374,4334335,0.129674,0.153868,0.126844
14593,20200529,3571,AAPL,APPLE INC,334220,317.94000,7011777,0.084956,4334335,0.053739,0.064070,0.045282
14593,20200630,3571,AAPL,APPLE INC,334220,364.79999,8095231,0.147386,4283939,0.025299,0.057391,0.018388
14593,20200731,3571,AAPL,APPLE INC,334220,425.04001,7543023,0.165132,4275634,0.055529,0.040737,0.055101
14593,20200831,3571,AAPL,APPLE INC,334220,129.03999,11844232,0.216309,17102536,0.068442,0.038884,0.070065
14593,20200930,3571,AAPL,APPLE INC,334220,115.81000,38816274,-0.102526,16976763,-0.035056,-0.027356,-0.039228
14593,20201030,3571,AAPL,APPLE INC,334220,108.86000,28938282,-0.060012,17001802,-0.020178,0.000584,-0.027666
14593,20201130,3571,AAPL,APPLE INC,334220,119.05000,21197000,0.095490,17001802,0.123707,0.174412,0.107546
14593,20201231,3571,AAPL,APPLE INC,334220,132.69000,23205317,0.114574,16823263,0.045048,0.072853,0.037121
14593,20210129,3571,AAPL,APPLE INC,334220,131.96001,22434811,-0.005502,16788096,-0.000631,0.073192,-0.011137
14593,20210226,3571,AAPL,APPLE INC,334220,121.26000,18332944,-0.079532,16788096,0.029196,0.067528,0.026091
14593,20210331,3571,AAPL,APPLE INC,334220,122.15000,26489849,0.007340,16686305,0.030573,0.012449,0.042439
14593,20210430,3571,AAPL,APPLE INC,334220,131.46001,18888744,0.076218,16687631,0.048190,0.016612,0.052425
14593,20210528,3571,AAPL,APPLE INC,334220,124.61000,17116318,-0.050434,16687631,0.007092,0.013179,0.005487
14593,20210630,3571,AAPL,APPLE INC,334220,136.96001,16058898,0.099109,16556942,0.023422,0.021482,0.022214
14593,20210730,3571,AAPL,APPLE INC,334220,145.86000,19182583,0.064982,16530166,0.011828,-0.033644,0.022748
14593,20210831,3571,AAPL,APPLE INC,334220,151.83000,14615956,0.042438,16530166,0.027147,0.018892,0.028990
14593,20210930,3571,AAPL,APPLE INC,334220,141.50000,17967120,-0.068037,16426786,-0.042243,-0.028472,-0.047569
14593,20211029,3571,AAPL,APPLE INC,334220,149.80000,15637134,0.058657,16406397,0.064657,0.026557,0.069144
